D_num,turns,utterances,prev_uttrs,last,response
D_scene0,1,你最近心情不太好,,你最近心情不太好,最近和朋友吵架了。
D_scene0,2,你最近心情不太好	多大还吵架,你最近心情不太好,多大还吵架,我觉得我朋友不是特别重视我。
D_scene0,3,你最近心情不太好	多大还吵架	许是你想多,你最近心情不太好	多大还吵架,许是你想多,我特别看重友情。
D_scene0,4,你最近心情不太好	多大还吵架	许是你想多	太在乎的东西就会特别在意,你最近心情不太好	多大还吵架	许是你想多,太在乎的东西就会特别在意,我觉得我可以不要爱情，但是不能不要友情。
D_scene0,5,你最近心情不太好	多大还吵架	许是你想多	太在乎的东西就会特别在意	你这太在乎,你最近心情不太好	多大还吵架	许是你想多	太在乎的东西就会特别在意,你这太在乎,对啊，我觉得友情更能给我安全感。
D_scene0,6,你最近心情不太好	多大还吵架	许是你想多	太在乎的东西就会特别在意	你这太在乎	你要正确看待友情和朋友,你最近心情不太好	多大还吵架	许是你想多	太在乎的东西就会特别在意	你这太在乎,你要正确看待友情和朋友,是我太在乎了所以这样吗？
D_scene0,7,你最近心情不太好	多大还吵架	许是你想多	太在乎的东西就会特别在意	你这太在乎	你要正确看待友情和朋友	看重友情很好但是不要过分地强求,你最近心情不太好	多大还吵架	许是你想多	太在乎的东西就会特别在意	你这太在乎	你要正确看待友情和朋友,看重友情很好但是不要过分地强求,我朋友说我性格不好。
D_scene0,8,你最近心情不太好	多大还吵架	许是你想多	太在乎的东西就会特别在意	你这太在乎	你要正确看待友情和朋友	看重友情很好但是不要过分地强求	那你就稍微改改,你最近心情不太好	多大还吵架	许是你想多	太在乎的东西就会特别在意	你这太在乎	你要正确看待友情和朋友	看重友情很好但是不要过分地强求,那你就稍微改改,我已经改了很多了。
D_scene0,9,你最近心情不太好	多大还吵架	许是你想多	太在乎的东西就会特别在意	你这太在乎	你要正确看待友情和朋友	看重友情很好但是不要过分地强求	那你就稍微改改	我能理解你就是太在乎,你最近心情不太好	多大还吵架	许是你想多	太在乎的东西就会特别在意	你这太在乎	你要正确看待友情和朋友	看重友情很好但是不要过分地强求	那你就稍微改改,我能理解你就是太在乎,我觉得没有友情我活着一定特别难过。
D_scene0,10,你最近心情不太好	多大还吵架	许是你想多	太在乎的东西就会特别在意	你这太在乎	你要正确看待友情和朋友	看重友情很好但是不要过分地强求	那你就稍微改改	我能理解你就是太在乎	想想别的别总想这个,你最近心情不太好	多大还吵架	许是你想多	太在乎的东西就会特别在意	你这太在乎	你要正确看待友情和朋友	看重友情很好但是不要过分地强求	那你就稍微改改	我能理解你就是太在乎,想想别的别总想这个,嗯，我已经学着控制自己不想了。
D_scene1,1,我和我闺蜜去旅游,,我和我闺蜜去旅游,是吗？好羡慕。
D_scene1,2,我和我闺蜜去旅游	你想去旅游,我和我闺蜜去旅游,你想去旅游,虽然也想，我更想和闺蜜一起旅游。
D_scene1,3,我和我闺蜜去旅游	你想去旅游	那是个不错的想法,我和我闺蜜去旅游	你想去旅游,那是个不错的想法,一定感觉很棒吧？
D_scene1,4,我和我闺蜜去旅游	你想去旅游	那是个不错的想法	是的可以感受以前没有感受过的事情,我和我闺蜜去旅游	你想去旅游	那是个不错的想法,是的可以感受以前没有感受过的事情,听说，一起去旅行更能知道对方的缺点。
D_scene1,5,我和我闺蜜去旅游	你想去旅游	那是个不错的想法	是的可以感受以前没有感受过的事情	是的但会发现她以前被隐藏的优点,我和我闺蜜去旅游	你想去旅游	那是个不错的想法	是的可以感受以前没有感受过的事情,是的但会发现她以前被隐藏的优点,总之，感觉很不错。
D_scene1,6,我和我闺蜜去旅游	你想去旅游	那是个不错的想法	是的可以感受以前没有感受过的事情	是的但会发现她以前被隐藏的优点	你是想更解你闺蜜,我和我闺蜜去旅游	你想去旅游	那是个不错的想法	是的可以感受以前没有感受过的事情	是的但会发现她以前被隐藏的优点,你是想更解你闺蜜,可以这么说，她在我看来是个谜。
D_scene1,7,我和我闺蜜去旅游	你想去旅游	那是个不错的想法	是的可以感受以前没有感受过的事情	是的但会发现她以前被隐藏的优点	你是想更解你闺蜜	你一点都不解她,我和我闺蜜去旅游	你想去旅游	那是个不错的想法	是的可以感受以前没有感受过的事情	是的但会发现她以前被隐藏的优点	你是想更解你闺蜜,你一点都不解她,不是的，每见她一次我就对她有全新的认识。
D_scene1,8,我和我闺蜜去旅游	你想去旅游	那是个不错的想法	是的可以感受以前没有感受过的事情	是的但会发现她以前被隐藏的优点	你是想更解你闺蜜	你一点都不解她	这么说起来她真的很神秘,我和我闺蜜去旅游	你想去旅游	那是个不错的想法	是的可以感受以前没有感受过的事情	是的但会发现她以前被隐藏的优点	你是想更解你闺蜜	你一点都不解她,这么说起来她真的很神秘,是的，不过我们关系很不错。
